	name	num	estimate	p.value	mean	name1	site
2610	Paracoccus aminophilus	256	0.194989016	0.001720303	8.17E-05	Paracoccus aminophilus	forehead
5552	Paracoccus aminophilus	265	0.184615202	0.002552165	7.17E-05	Paracoccus aminophilus	cheek
8390	Paracoccus aminophilus	267	0.160035638	0.008802253	3.24E-05	Paracoccus aminophilus	nose
2771	Paracoccus aminovorans	262	0.201422263	0.001044048	0.000296966	Paracoccus aminovorans	forehead
5687	Paracoccus aminovorans	272	0.182392753	0.002530967	0.000271116	Paracoccus aminovorans	cheek
8615	Paracoccus aminovorans	280	0.184297048	0.001957196	0.000132153	Paracoccus aminovorans	nose
2708	Paracoccus denitrificans	260	0.23874864	0.000101272	0.000113906	Paracoccus denitrificans	forehead
5658	Paracoccus denitrificans	271	0.239099261	7.02E-05	0.000100211	Paracoccus denitrificans	cheek
8557	Paracoccus denitrificans	277	0.185489381	0.001934257	5.36E-05	Paracoccus denitrificans	nose
2440	Paracoccus kondratievae	243	0.211931345	0.000885797	0.000105031	Paracoccus kondratievae	forehead
5463	Paracoccus kondratievae	259	0.182861002	0.003141127	8.79E-05	Paracoccus kondratievae	cheek
8258	Paracoccus kondratievae	256	0.162309851	0.009281119	4.49E-05	Paracoccus kondratievae	nose
2812	Paracoccus yeei	263	0.207751074	0.000698489	0.000673784	Paracoccus yeei	forehead
5762	Paracoccus yeei	274	0.176874595	0.003307566	0.000615954	Paracoccus yeei	cheek
8760	Paracoccus yeei	282	0.133321715	0.025161639	0.000307966	Paracoccus yeei	nose
2552	Polymorphum gilvum	252	0.193318744	0.002051217	4.83E-05	Polymorphum gilvum	forehead
5452	Polymorphum gilvum	258	0.124959883	0.044933851	4.20E-05	Polymorphum gilvum	cheek
8284	Polymorphum gilvum	259	0.146902618	0.018001544	2.28E-05	Polymorphum gilvum	nose
8374	Propionibacterium phage PHL064M02	265	0.190976858	0.001790329	0.000289374	Propionibacterium phage PHL064M02	nose
5323	Propionibacterium phage PHL064M02	245	0.161044287	0.011591272	0.000183624	Propionibacterium phage PHL064M02	cheek
2322	Propionibacterium phage PHL064M02	226	0.152323901	0.021985661	1.29E-05	Propionibacterium phage PHL064M02	forehead
2594	Pseudopedobacter saltans	255	0.343513792	1.79E-08	0.000162303	Pseudopedobacter saltans	forehead
5504	Pseudopedobacter saltans	262	0.295284339	1.14E-06	0.000124797	Pseudopedobacter saltans	cheek
8466	Pseudopedobacter saltans	272	0.258591315	1.57E-05	5.39E-05	Pseudopedobacter saltans	nose
2825	Psychrobacter alimentarius	263	0.259874724	1.97E-05	0.000167707	Psychrobacter alimentarius	forehead
5719	Psychrobacter alimentarius	273	0.302974212	3.34E-07	0.000166168	Psychrobacter alimentarius	cheek
8600	Psychrobacter alimentarius	279	0.156575486	0.008799109	0.000104853	Psychrobacter alimentarius	nose
2787	Psychrobacter sp. AntiMn-1	262	0.287444187	2.24E-06	0.000214846	Psychrobacter sp. AntiMn-1	forehead
5720	Psychrobacter sp. AntiMn-1	273	0.319585714	6.72E-08	0.000207447	Psychrobacter sp. AntiMn-1	cheek
8652	Psychrobacter sp. AntiMn-1	281	0.208844403	0.000424755	0.000144619	Psychrobacter sp. AntiMn-1	nose
2685	Psychrobacter sp. G	259	0.214306088	0.000515288	7.12E-05	Psychrobacter sp. G	forehead
5569	Psychrobacter sp. G	266	0.231343253	0.000140607	6.64E-05	Psychrobacter sp. G	cheek
8566	Psychrobacter sp. G	277	0.157058773	0.008833578	4.76E-05	Psychrobacter sp. G	nose
5721	Psychrobacter sp. P11G5	273	0.30216551	3.60E-07	0.000208225	Psychrobacter sp. P11G5	cheek
2686	Psychrobacter sp. P11G5	259	0.302206859	7.18E-07	0.000207844	Psychrobacter sp. P11G5	forehead
8621	Psychrobacter sp. P11G5	280	0.184155224	0.001973263	0.000133026	Psychrobacter sp. P11G5	nose
5175	Rhodobacter capsulatus	223	0.231050843	0.000504952	2.10E-05	Rhodobacter capsulatus	cheek
2230	Rhodobacter capsulatus	212	0.24743977	0.000274533	1.72E-05	Rhodobacter capsulatus	forehead
8020	Rhodobacter capsulatus	222	0.133648654	0.046700039	6.70E-06	Rhodobacter capsulatus	nose
5659	Rhodobacter sp. LPB0142	271	0.236500587	8.45E-05	0.000192503	Rhodobacter sp. LPB0142	cheek
2709	Rhodobacter sp. LPB0142	260	0.212803514	0.000551372	0.000187296	Rhodobacter sp. LPB0142	forehead
8523	Rhodobacter sp. LPB0142	275	0.179302916	0.002844332	8.32E-05	Rhodobacter sp. LPB0142	nose
2648	Rhodobacter sphaeroides	258	0.194353969	0.001709244	0.000101435	Rhodobacter sphaeroides	forehead
5633	Rhodobacter sphaeroides	270	0.207138215	0.000614668	9.04E-05	Rhodobacter sphaeroides	cheek
8541	Rhodobacter sphaeroides	276	0.164588642	0.006131641	5.04E-05	Rhodobacter sphaeroides	nose
2801	Sphingobacterium sp. G1-14	263	0.318240806	1.33E-07	0.0004749	Sphingobacterium sp. G1-14	forehead
5625	Sphingobacterium sp. G1-14	270	0.28716155	1.60E-06	0.000462356	Sphingobacterium sp. G1-14	cheek
8611	Sphingobacterium sp. G1-14	280	0.22099428	0.000193319	0.00023138	Sphingobacterium sp. G1-14	nose
2379	Sphingobacterium sp. ML3W	235	0.158131198	0.015246686	3.65E-05	Sphingobacterium sp. ML3W	forehead
5279	Sphingobacterium sp. ML3W	240	0.163676707	0.011098566	3.65E-05	Sphingobacterium sp. ML3W	cheek
8155	Sphingobacterium sp. ML3W	245	0.146067158	0.022201695	2.01E-05	Sphingobacterium sp. ML3W	nose
5579	Sphingobacterium sp. PM2-P1-29	267	0.206339856	0.00069288	0.000178442	Sphingobacterium sp. PM2-P1-29	cheek
2699	Sphingobacterium sp. PM2-P1-29	260	0.185362335	0.002695175	9.14E-05	Sphingobacterium sp. PM2-P1-29	forehead
8447	Sphingobacterium sp. PM2-P1-29	271	0.134198338	0.027176512	4.42E-05	Sphingobacterium sp. PM2-P1-29	nose
2389	Sphingobium herbicidovorans	236	0.132318792	0.042268669	1.31E-05	Sphingobium herbicidovorans	forehead
5353	Sphingobium herbicidovorans	248	0.137234212	0.030735506	1.02E-05	Sphingobium herbicidovorans	cheek
8121	Sphingobium herbicidovorans	240	0.137410759	0.033358011	8.88E-06	Sphingobium herbicidovorans	nose
2147	Staphylococcus phage StB12	199	-0.152380984	0.031664521	9.66E-06	Staphylococcus phage StB12	forehead
8067	Staphylococcus phage StB12	230	-0.173778022	0.008260282	7.60E-06	Staphylococcus phage StB12	nose
5110	Staphylococcus phage StB12	212	-0.198817628	0.003651601	6.37E-06	Staphylococcus phage StB12	cheek
